"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"84","Great speach <U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A><U+0001F33A>","hemanth reddy","https://yt3.ggpht.com/a/AATXAJxIvC3YCI5DLxLQOAFzncARxSPt1_4H7Z4jbQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzFmvew1gpryaokvqnbiVJg","UCzFmvew1gpryaokvqnbiVJg","0","5","2019-01-25T05:11:49.000Z","2019-01-25T05:11:49.000Z","UgwmoDtBAiiXddnYL9x4AaABAg",NA,"ii7obeNa20g"
"85","<U+0001F44D>","Krishna jarak","https://yt3.ggpht.com/a/AATXAJz7oLZ7Sk61GoTgeUZKvhKOmu_JdHMMAuujLw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5vU__EKUSnT6YRHapg8dmA","UC5vU__EKUSnT6YRHapg8dmA","1","5","2018-03-29T10:03:44.000Z","2018-03-29T10:03:44.000Z","Ugw8xCBqvJBQ87GY5cx4AaABAg",NA,"ii7obeNa20g"
"86","feeling proud <U+0001F44C>","Tejas Raut","https://yt3.ggpht.com/a/AATXAJxtn8p69usnCn_y_o3w_sIQbPsEyeoE-WjVJg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD2ey3OYo8UZANYiLbzENag","UCD2ey3OYo8UZANYiLbzENag","1","3","2017-03-06T04:49:05.000Z","2017-03-06T04:49:05.000Z","UgiWWY6Gqz3ZrHgCoAEC",NA,"ii7obeNa20g"
"87","no my grandfhater, was from 1878","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T10:30:15.000Z","2020-03-13T10:30:15.000Z","UgxgUT52ZdSElCAEWp14AaABAg.95j9CgthWoT968QKdNxm1K","UgxgUT52ZdSElCAEWp14AaABAg","ii7obeNa20g"
"88","AVATAR","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:54:52.000Z","2020-03-13T11:54:52.000Z","Ugz553Xj2VrFGnOmuz94AaABAg.94gzBX2EaDJ968_0S2_LOn","Ugz553Xj2VrFGnOmuz94AaABAg","ii7obeNa20g"
"89","to late start with the GITA,","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:56:50.000Z","2020-03-13T11:56:50.000Z","UgzAfu21P7JyEvPOmlZ4AaABAg.94L-FlzdOm-968_ElTlYfR","UgzAfu21P7JyEvPOmlZ4AaABAg","ii7obeNa20g"
"90","HARI KRIHSNA FRIEND","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T12:00:00.000Z","2020-03-13T12:00:00.000Z","Ugzy-7vwESaEhHA6Z7t4AaABAg.949O9BQaoH9968_b3QtR0v","Ugzy-7vwESaEhHA6Z7t4AaABAg","ii7obeNa20g"
"91","@Suman Sawant BJP Jai Sri RAM,YOGI ADYAINANT","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T12:09:39.000Z","2020-03-13T12:09:39.000Z","UgwSsiJXgnAjNyjF7Q14AaABAg.9418MiAsDxa968ahk1_5-z","UgwSsiJXgnAjNyjF7Q14AaABAg","ii7obeNa20g"
"92","<U+0905><U+092E><U+0942><U+0932><U+094D><U+092F> <U+0935><U+093F><U+091A><U+093E><U+0930> <U+0926><U+093F><U+0932><U+0947>.","Suman Sawant","https://yt3.ggpht.com/a/AATXAJx92xwXWNESe4m74t8Zv8QX0iQqzlEnQpl21A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4-__dX8kzdFBYCo44_ZHZQ","UC4-__dX8kzdFBYCo44_ZHZQ","0","2","2020-02-15T15:45:10.000Z","2020-02-15T15:45:10.000Z","UgwSsiJXgnAjNyjF7Q14AaABAg.9418MiAsDxa953SuWn1py2","UgwSsiJXgnAjNyjF7Q14AaABAg","ii7obeNa20g"
"93","He represented Hinduism and not India..it was parliament of religions..other Indians of Muslin and Christian faith too went..","Prashant Singh","https://yt3.ggpht.com/a/AATXAJyKmQGkVSlIqbYhJVJvXm7Vb1f0fGfCtHNV_w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUz6GWmPjZ-fJwYk5lCxb-Q","UCUz6GWmPjZ-fJwYk5lCxb-Q","0","0","2020-04-04T05:24:11.000Z","2020-04-04T05:24:11.000Z","Ugwk7z3ZWFgqM3GEIVJ4AaABAg.940rI15LqYg970WnEk4Nt9","Ugwk7z3ZWFgqM3GEIVJ4AaABAg","ii7obeNa20g"
